Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,76.849998,83.400002,75.500000,80.449997,80.200035,125425355
2020-04-21,78.000000,78.000000,74.000000,74.650002,74.418060,58248325
2020-04-22,74.449997,76.550003,72.550003,75.900002,75.664177,56529293
2020-04-23,76.750000,78.650002,75.400002,75.650002,75.414955,50366856
2020-04-24,75.000000,76.900002,74.000000,74.199997,73.969460,40047438
2020-04-27,75.900002,76.199997,74.800003,75.250000,75.016197,27835340
2020-04-28,75.650002,78.199997,75.199997,76.949997,76.710915,34825405
2020-04-29,77.449997,79.300003,76.550003,78.150002,77.907188,40784783
2020-04-30,85.949997,93.750000,85.949997,93.250000,92.960274,170634033
2020-05-04,87.000000,87.199997,81.500000,83.900002,83.639320,91159477
2020-05-05,86.000000,86.800003,80.400002,80.900002,80.648643,57122148
2020-05-06,81.550003,83.949997,80.349998,83.199997,82.941490,53739248
2020-05-07,82.900002,84.650002,82.099998,82.500000,82.243675,31159970
2020-05-08,84.500000,84.949997,80.550003,81.050003,80.798180,35362751
2020-05-11,81.449997,90.650002,81.400002,86.099998,85.832481,152588401
2020-05-12,85.949997,87.699997,83.500000,86.199997,85.932175,77551590
2020-05-13,92.500000,92.500000,86.250000,87.199997,86.929062,68086031
2020-05-14,83.949997,85.300003,82.550003,83.800003,83.539635,46340453
2020-05-15,84.699997,85.349998,82.800003,84.349998,84.087921,38592209
2020-05-18,84.500000,84.500000,79.599998,80.650002,80.399422,44221170
2020-05-19,82.500000,85.650002,81.500000,81.800003,81.545853,65378983
2020-05-20,81.250000,84.400002,80.699997,83.449997,83.190720,36351053
2020-05-21,83.099998,85.199997,82.900002,84.099998,83.838699,37290144
2020-05-22,83.400002,83.900002,82.000000,82.800003,82.542740,29252676
2020-05-26,83.900002,85.699997,82.599998,83.099998,82.841805,38014864
2020-05-27,84.099998,86.000000,84.000000,84.550003,84.287308,57947903
2020-05-28,86.000000,88.150002,84.550003,87.000000,86.729691,96179680
2020-05-29,85.550003,87.500000,84.650002,87.000000,86.729691,80813537
2020-06-01,88.900002,91.199997,88.000000,89.550003,89.271767,71070852
2020-06-02,90.000000,97.300003,89.750000,96.500000,96.200172,125407771
2020-06-03,100.000000,101.449997,97.400002,98.750000,98.443184,90598067
2020-06-04,99.000000,101.400002,96.800003,98.500000,98.193962,72078707
2020-06-05,100.449997,112.449997,99.050003,110.750000,110.405899,187209208
2020-06-08,114.000000,119.150002,113.349998,115.449997,115.091293,136943010
2020-06-09,117.449997,117.900002,110.250000,111.449997,111.103722,79473751
2020-06-10,111.000000,113.000000,108.500000,111.400002,111.053879,84038431
2020-06-11,109.900002,111.150002,105.000000,106.150002,105.820190,55485897
2020-06-12,98.000000,106.250000,98.000000,105.300003,104.972832,92989560
2020-06-15,104.650002,104.650002,100.050003,100.500000,100.187744,69318356
2020-06-16,102.000000,103.500000,92.000000,94.750000,94.455612,215476711
2020-06-17,93.000000,96.400002,91.800003,95.400002,95.103592,110830038
2020-06-18,95.000000,97.199997,94.150002,96.349998,96.050636,58964344
2020-06-19,96.500000,103.900002,95.599998,102.500000,102.181534,135462757
2020-06-22,102.349998,104.900002,101.000000,102.650002,102.331070,68545834
2020-06-23,103.000000,106.000000,101.900002,104.400002,104.075630,68638552
2020-06-24,105.250000,110.800003,104.199997,104.800003,104.474388,125457492
2020-06-25,103.849998,106.300003,101.650002,103.800003,103.477493,63198285
2020-06-26,105.400002,106.050003,100.349998,101.400002,101.084953,56327855
2020-06-29,101.400002,101.400002,98.050003,99.449997,99.141006,43274006
2020-06-30,101.750000,102.300003,97.300003,98.250000,97.944733,50764363
2020-07-01,99.000000,101.449997,98.199997,100.750000,100.436966,50857376
2020-07-02,100.750000,102.949997,100.400002,101.550003,101.234489,48083736
2020-07-03,102.849998,106.349998,102.099998,103.449997,103.128578,87310642
2020-07-06,105.000000,109.900002,104.500000,109.000000,108.661339,91970198
2020-07-07,109.800003,112.599998,108.050003,109.050003,108.711182,85835716
2020-07-08,109.500000,110.849998,104.199997,105.349998,105.022675,55887256
2020-07-09,106.300003,108.949997,104.650002,106.949997,106.617699,54492650
2020-07-10,106.699997,108.599998,105.400002,107.599998,107.265686,64694173
2020-07-13,108.849998,112.099998,106.849998,108.000000,107.664444,81893001
2020-07-14,106.900002,107.550003,104.099998,105.150002,104.823296,46924623
2020-07-15,106.800003,106.800003,102.500000,103.199997,102.879356,49687046
2020-07-16,103.949997,103.949997,100.599998,102.949997,102.630127,44333785
2020-07-17,103.650002,106.949997,103.300003,106.400002,106.069412,42080157
2020-07-20,106.349998,106.349998,103.849998,105.050003,104.723610,39786731
2020-07-21,106.000000,109.699997,105.500000,108.449997,108.113045,66008143
2020-07-22,108.500000,109.750000,104.250000,105.150002,104.823296,50735592
2020-07-23,105.449997,106.449997,104.699997,106.050003,105.720505,30722413
2020-07-24,104.699997,105.500000,102.699997,103.750000,103.427650,39363520
2020-07-27,104.000000,104.500000,101.300003,101.699997,101.384010,29644533
2020-07-28,102.300003,107.199997,102.000000,106.449997,106.119255,64271161
2020-07-29,108.099998,108.750000,104.849998,105.750000,105.421432,44561639
2020-07-30,106.400002,106.750000,102.849998,103.650002,103.327957,33378340
2020-07-31,104.000000,105.400002,102.300003,104.650002,104.324852,33809018
2020-08-03,103.000000,114.400002,102.900002,113.050003,112.698753,194765344
2020-08-04,112.949997,115.099998,110.800003,111.449997,111.103722,95906477
2020-08-05,112.400002,117.650002,112.000000,115.400002,115.041451,99371050
2020-08-06,116.199997,117.699997,115.500000,116.800003,116.437103,60092530
2020-08-07,117.000000,119.699997,116.000000,119.099998,118.729950,56489390
2020-08-10,119.949997,124.699997,119.699997,123.849998,123.465195,71093810
2020-08-11,125.000000,125.800003,121.400002,122.300003,121.920013,50224665
2020-08-12,121.000000,126.400002,120.599998,125.349998,124.960533,50713617
2020-08-13,126.099998,131.899994,124.400002,131.149994,130.742508,95489249
2020-08-14,131.149994,132.649994,123.699997,124.599998,124.212868,75032834
2020-08-17,124.500000,126.250000,120.599998,123.550003,123.166130,61154250
2020-08-18,124.000000,127.500000,123.599998,125.599998,125.209755,62153763
2020-08-19,127.000000,127.599998,124.750000,125.150002,124.761162,45128613
2020-08-20,123.449997,125.650002,121.099998,121.699997,121.321877,43530882
2020-08-21,124.199997,124.199997,120.150002,120.900002,120.524361,48650204
2020-08-24,122.000000,123.000000,120.800003,121.199997,120.823425,31294253
2020-08-25,121.800003,128.350006,121.099998,127.099998,126.705101,90263366
2020-08-26,130.500000,139.000000,128.350006,137.899994,137.471542,197510376
2020-08-27,140.100006,146.850006,139.300003,144.250000,143.801819,181380747
2020-08-28,144.149994,146.199997,140.500000,142.800003,142.356323,95194825
2020-08-31,144.500000,147.949997,138.199997,143.199997,142.755066,160564488
2020-09-01,143.399994,145.149994,140.399994,143.800003,143.353210,58811543
2020-09-02,144.300003,151.649994,141.449997,150.300003,149.833023,74947929
2020-09-03,151.600006,155.199997,149.550003,151.850006,151.378204,110156350
2020-09-04,147.899994,153.649994,147.000000,147.800003,147.340790,95560889
2020-09-07,150.000000,152.000000,148.000000,149.399994,148.935806,82617101
2020-09-08,149.449997,149.600006,141.199997,142.300003,141.857880,76286731
2020-09-09,141.000000,141.750000,135.699997,140.100006,139.664719,105355010
2020-09-10,142.800003,144.500000,138.000000,143.300003,142.854767,79606504
2020-09-11,143.100006,146.800003,141.649994,144.300003,143.851654,65135339
2020-09-14,147.199997,151.100006,145.500000,148.550003,148.088455,84505930
2020-09-15,149.399994,149.399994,146.550003,148.399994,147.938919,42886817
2020-09-16,149.199997,154.300003,148.550003,151.449997,150.979446,85056501
2020-09-17,150.800003,151.000000,146.199997,147.649994,147.191238,48119360
2020-09-18,148.699997,150.500000,146.250000,147.899994,147.440460,46270863
2020-09-21,147.750000,147.750000,135.500000,137.449997,137.022934,64734493
2020-09-22,138.000000,138.149994,129.649994,133.100006,132.686462,87298020
2020-09-23,135.500000,136.699997,127.900002,131.399994,130.991730,74981613
2020-09-24,127.900002,128.800003,122.150002,122.800003,122.418465,62420957
2020-09-25,123.699997,128.350006,123.099998,127.250000,126.854630,65040759
2020-09-28,128.899994,134.300003,127.500000,132.850006,132.437241,61830817
2020-09-29,134.949997,136.000000,130.699997,131.699997,131.290802,63366932
2020-09-30,131.550003,134.399994,130.300003,133.300003,132.885834,48859088
2020-10-01,135.899994,136.500000,132.550003,133.500000,133.085220,40491744
2020-10-05,136.949997,137.500000,132.050003,133.899994,133.483963,55268322
2020-10-06,138.000000,145.800003,136.000000,144.750000,144.300262,161987221
2020-10-07,144.250000,144.500000,139.800003,141.000000,140.561905,68273641
2020-10-08,142.850006,143.500000,139.600006,140.949997,140.512070,40900948
2020-10-09,141.149994,142.649994,138.000000,138.449997,138.019836,37097190
2020-10-12,139.649994,139.649994,133.000000,135.899994,135.477753,39279109
2020-10-13,135.399994,137.100006,132.850006,134.100006,133.683350,38973506
2020-10-14,133.750000,134.649994,128.800003,130.699997,130.293915,45791440
2020-10-15,131.500000,134.350006,126.500000,126.949997,126.555565,64002864
2020-10-16,129.399994,130.050003,126.000000,127.750000,127.353081,62553775
2020-10-19,129.800003,130.399994,127.800003,128.250000,127.851524,33157664
2020-10-20,128.100006,130.300003,126.349998,129.649994,129.247177,27465829
2020-10-21,131.050003,133.100006,128.300003,130.250000,129.845306,39252663
2020-10-22,129.699997,134.600006,128.449997,133.500000,133.085220,48808592
2020-10-23,134.899994,138.899994,134.100006,137.000000,136.574341,68711352
2020-10-26,138.399994,140.800003,131.250000,133.699997,133.284592,88531579
2020-10-27,134.149994,136.750000,130.850006,135.649994,135.228531,56856159
2020-10-28,139.000000,143.250000,133.500000,134.800003,134.381180,152359338
2020-10-29,132.000000,133.000000,130.000000,131.899994,131.490173,66632704
2020-10-30,133.199997,134.500000,130.300003,132.649994,132.237854,51128530
2020-11-02,133.649994,134.000000,131.100006,132.850006,132.437241,40388690
2020-11-03,135.000000,137.399994,133.550003,134.100006,133.683350,52071476
2020-11-04,135.600006,137.000000,134.000000,135.899994,135.477753,44675934
2020-11-05,137.000000,138.000000,136.000000,137.649994,137.222321,38928602
2020-11-06,137.649994,142.300003,137.649994,139.000000,138.568130,67966815
2020-11-09,140.600006,141.500000,138.699997,141.000000,140.561905,40277460
2020-11-10,144.050003,146.699997,142.750000,146.000000,145.546371,68794369
2020-11-11,146.500000,151.500000,145.649994,150.949997,150.480988,78583629
2020-11-12,150.949997,153.850006,150.000000,151.199997,150.730209,56145517
2020-11-13,150.000000,150.000000,145.350006,146.350006,145.895294,32566537
2020-11-14,148.699997,150.800003,148.000000,148.850006,148.387527,11749453
2020-11-17,152.500000,159.350006,152.199997,158.000000,157.509094,82644841
2020-11-18,158.850006,178.800003,158.550003,173.500000,172.960938,171801183
2020-11-19,171.399994,176.350006,166.550003,167.949997,167.428177,109449407
2020-11-20,170.050003,171.550003,165.550003,169.100006,168.574615,66935703
2020-11-23,169.500000,173.899994,165.550003,170.699997,170.169632,54566251
2020-11-24,171.850006,175.500000,171.100006,172.050003,171.515442,47695247
2020-11-25,175.000000,176.800003,169.250000,171.449997,170.917297,54366608
2020-11-26,171.600006,175.000000,171.050003,173.750000,173.210159,39094724
2020-11-27,174.649994,183.850006,174.649994,180.350006,179.789658,125926062
2020-12-01,182.350006,182.399994,178.100006,179.750000,179.191513,48881250
2020-12-02,184.000000,187.350006,181.100006,183.600006,183.029556,88107889
2020-12-03,185.000000,186.000000,183.250000,184.850006,184.275681,33332481
2020-12-04,186.500000,188.800003,182.199997,184.149994,183.577835,47995639
2020-12-07,184.449997,186.449997,182.699997,183.550003,182.979706,29802472
2020-12-08,184.949997,185.699997,178.949997,181.800003,181.235153,42143391
2020-12-09,183.000000,186.399994,181.649994,182.699997,182.132339,40300535
2020-12-10,182.699997,182.699997,176.399994,177.600006,177.048203,38368777
2020-12-11,177.949997,181.449997,176.500000,178.850006,178.294312,43065542
2020-12-14,181.000000,181.500000,176.699997,177.649994,177.098038,33186273
2020-12-15,176.449997,179.699997,173.250000,178.899994,178.344147,41190341
2020-12-16,181.000000,183.800003,180.100006,182.550003,181.982819,51259394
2020-12-17,184.000000,184.000000,180.649994,181.699997,181.135452,34101954
2020-12-18,180.899994,181.500000,176.649994,180.550003,179.989029,46065197
2020-12-21,176.000000,177.550003,162.500000,164.550003,164.038742,75582907
2020-12-22,164.550003,169.199997,156.699997,164.949997,164.437500,110009846
2020-12-23,165.000000,169.699997,163.399994,169.199997,168.674286,56930071
2020-12-24,172.000000,178.000000,172.000000,175.949997,175.403320,73831319
2020-12-28,179.850006,187.399994,179.000000,186.350006,185.771011,98012135
2020-12-29,187.899994,188.449997,181.100006,183.449997,182.880020,71318085
2020-12-30,183.100006,185.399994,180.399994,184.149994,183.577835,38576159
2020-12-31,184.850006,187.500000,182.800003,183.850006,183.278778,48978310
2021-01-01,184.949997,187.000000,184.500000,186.500000,185.920547,27334421
2021-01-04,191.800003,193.000000,188.750000,191.300003,190.705627,63980597
2021-01-05,187.100006,193.899994,185.050003,193.199997,192.599716,75752593
2021-01-06,194.449997,197.600006,190.649994,195.399994,194.792877,75621947
2021-01-07,197.000000,200.350006,195.100006,196.750000,196.138702,66024848
2021-01-08,198.750000,201.500000,197.100006,198.149994,197.534332,53991568
2021-01-11,199.899994,225.399994,199.649994,220.649994,219.964432,182483100
2021-01-12,227.000000,252.399994,224.100006,237.800003,237.061157,390577839
2021-01-13,242.899994,248.800003,238.399994,242.600006,241.846252,164649387
2021-01-14,242.850006,249.800003,238.600006,245.100006,244.338470,86819519
2021-01-15,246.000000,264.649994,242.600006,260.299988,259.491241,250038029
2021-01-18,261.649994,262.450012,241.149994,245.949997,245.185822,173383224
2021-01-19,251.500000,261.700012,251.300003,258.649994,257.846375,136861059
2021-01-20,260.000000,277.500000,258.850006,274.899994,274.045868,205145151
2021-01-21,281.000000,299.000000,280.000000,290.600006,289.697113,283614463
2021-01-22,295.950012,306.899994,278.350006,289.350006,288.450989,316008609
2021-01-25,296.899994,299.500000,277.350006,279.149994,278.282684,164346913
2021-01-27,274.899994,275.000000,265.700012,267.500000,266.668884,126586833
2021-01-28,260.049988,273.399994,259.049988,266.799988,265.971039,129156876
2021-01-29,273.000000,278.799988,260.600006,262.700012,261.883789,138442348
2021-02-01,269.750000,282.000000,255.350006,279.600006,278.731293,165655500
2021-02-02,293.600006,328.850006,290.399994,322.000000,320.999542,251965965
2021-02-03,339.200012,341.899994,326.200012,331.000000,329.971588,224190114
2021-02-04,329.000000,334.500000,322.450012,326.149994,325.136627,121033002
2021-02-05,327.600006,330.000000,312.600006,315.899994,314.918488,103512235
2021-02-08,318.750000,339.250000,318.000000,335.950012,334.906219,102123614
2021-02-09,337.000000,338.500000,322.200012,325.049988,324.040039,105981081
2021-02-10,326.000000,332.649994,319.500000,328.899994,327.878113,93466949
2021-02-11,326.450012,331.350006,323.399994,325.000000,323.990234,55257166
2021-02-12,326.399994,330.500000,321.250000,325.399994,324.388977,64093642
2021-02-15,329.899994,335.799988,324.000000,333.350006,332.314270,78680452
2021-02-16,335.450012,337.899994,327.500000,329.200012,328.177185,65943843
2021-02-17,326.899994,334.250000,325.450012,330.149994,329.124207,52150941
2021-02-18,331.500000,331.750000,321.100006,323.850006,322.843811,49204247
2021-02-19,321.950012,321.950012,301.399994,311.850006,310.881073,80274683
2021-02-22,312.450012,313.899994,302.149994,304.500000,303.553925,57723298
2021-02-23,308.500000,328.899994,308.500000,324.000000,322.993317,133310157
2021-02-24,325.000000,330.000000,316.500000,321.649994,320.650635,50821757
2021-02-25,325.350006,334.700012,323.250000,333.149994,332.114899,64514912
2021-02-26,323.000000,332.950012,318.850006,322.950012,321.946594,91901339
2021-03-01,330.000000,331.850006,322.700012,328.299988,327.279968,61190868
2021-03-02,331.100006,347.200012,326.450012,345.750000,344.675751,127708761
2021-03-03,348.649994,357.000000,346.500000,348.500000,347.417206,92006451
2021-03-04,339.000000,345.399994,337.299988,339.200012,338.146118,59863169
2021-03-05,333.000000,337.850006,319.700012,325.149994,324.139740,86738909
2021-03-08,331.750000,331.750000,318.799988,321.250000,320.251862,81925952
2021-03-09,325.000000,328.350006,309.600006,315.200012,314.220673,74702208
2021-03-10,319.500000,324.450012,316.700012,321.450012,320.451263,58643853
2021-03-12,325.049988,326.500000,314.149994,317.549988,316.563354,48360842
2021-03-15,320.000000,320.399994,310.049988,318.549988,317.560242,45081385
2021-03-16,321.000000,321.899994,315.100006,319.950012,318.955933,39267404
2021-03-17,318.600006,320.000000,304.000000,305.799988,304.849854,47262481
2021-03-18,311.000000,316.600006,299.750000,307.000000,306.046143,73731921
2021-03-19,303.500000,311.000000,290.200012,308.950012,307.990112,109932681
2021-03-22,306.450012,307.500000,300.100006,303.049988,302.108398,56385019
2021-03-23,305.000000,312.250000,304.000000,307.399994,306.444885,60240483
2021-03-24,303.549988,305.000000,293.200012,294.450012,293.535156,61523819
2021-03-25,294.000000,294.000000,282.250000,285.549988,284.662781,84528317
2021-03-26,290.500000,301.399994,290.500000,296.399994,295.479065,80924011
2021-03-30,300.500000,301.299988,292.700012,297.049988,296.127045,45257233
2021-03-31,299.000000,307.500000,297.500000,301.799988,300.862305,58569012
2021-04-01,306.750000,309.850006,303.049988,307.750000,306.793823,44088352
2021-04-05,306.799988,311.700012,297.200012,305.049988,304.102203,66178755
2021-04-06,306.149994,313.799988,304.799988,307.750000,306.793823,63031783
2021-04-07,306.750000,310.649994,305.100006,307.799988,306.843658,39073986
2021-04-08,307.899994,319.799988,307.500000,313.950012,312.974579,62459774
2021-04-09,313.200012,325.000000,312.500000,318.200012,317.211365,75462572
2021-04-12,307.850006,307.850006,282.899994,286.549988,285.659668,105342538
2021-04-13,287.250000,304.549988,280.549988,302.850006,301.909058,116874853
2021-04-15,303.000000,307.549988,296.500000,303.500000,302.557007,75262749
2021-04-16,302.000000,315.000000,300.149994,310.000000,309.036835,75330709
2021-04-19,295.000000,304.500000,292.799988,301.399994,300.463531,65791784
2021-04-20,307.700012,308.149994,294.200012,298.049988,297.123932,56740291
2021-04-22,294.000000,302.500000,292.200012,294.549988,293.634827,61022978
2021-04-23,291.000000,300.000000,290.500000,294.000000,293.086548,58158986
2021-04-26,297.000000,299.000000,294.600006,295.399994,294.482178,30583139
2021-04-27,295.700012,302.500000,295.100006,301.500000,300.563232,35040532
2021-04-28,303.500000,309.500000,303.000000,305.899994,304.949554,44668126
2021-04-29,308.899994,310.000000,301.250000,301.899994,300.961975,36647292
2021-04-30,298.200012,301.299988,292.549988,293.850006,292.937012,36121668
2021-05-03,289.299988,294.750000,285.000000,293.000000,292.089661,35376618
2021-05-04,296.350006,299.750000,288.049988,289.450012,288.550690,38640006
2021-05-05,293.500000,293.899994,288.500000,291.500000,290.594299,29350536
2021-05-06,291.500000,302.000000,290.299988,301.250000,300.314026,45032502
2021-05-07,303.000000,305.950012,300.500000,302.750000,301.809357,41591323
2021-05-10,304.500000,315.700012,304.000000,314.850006,313.871765,53260388
2021-05-11,309.549988,320.750000,308.100006,315.549988,314.569580,58472304
2021-05-12,318.250000,334.750000,316.250000,326.000000,324.987122,111584920
2021-05-14,329.350006,329.500000,310.000000,312.250000,311.279846,81305325
2021-05-17,315.399994,323.850006,311.399994,321.100006,320.102356,51162423
2021-05-18,325.950012,336.649994,324.000000,332.450012,331.417084,86153088
2021-05-19,313.000000,322.950012,312.100006,314.450012,313.473022,119407026
2021-05-20,316.000000,316.600006,306.100006,307.700012,306.743988,54043899
2021-05-21,312.000000,315.700012,309.500000,313.100006,312.127197,40358753
2021-05-24,314.750000,315.799988,310.200012,311.850006,310.881073,31963997
2021-05-25,315.549988,319.000000,313.850006,315.250000,314.270508,37382263
2021-05-26,316.100006,320.000000,314.799988,315.500000,314.519745,28639717
2021-05-27,317.049988,323.450012,316.549988,318.600006,317.610107,49484106
2021-05-28,322.649994,324.500000,316.500000,318.750000,317.759644,26618815
2021-05-31,318.700012,319.750000,312.100006,318.750000,317.759644,30917309
2021-06-01,319.200012,325.700012,317.299988,318.100006,317.111664,32595728
2021-06-02,315.950012,324.399994,315.600006,323.000000,321.996429,26323777
2021-06-03,325.299988,327.700012,323.649994,325.649994,324.638184,21408371
2021-06-04,325.149994,336.899994,324.250000,334.950012,333.909332,41278749
2021-06-07,339.750000,351.000000,339.750000,345.500000,344.426514,64986814
2021-06-08,346.250000,356.649994,337.500000,352.750000,351.653992,44104954
2021-06-09,356.200012,358.899994,339.750000,343.350006,342.283203,59334814
2021-06-10,345.200012,347.850006,342.399994,344.750000,343.678864,24351860
2021-06-11,346.000000,352.899994,344.350006,350.750000,349.660217,36441967
2021-06-14,350.049988,357.899994,341.100006,355.950012,354.844086,38482142
2021-06-15,355.750000,360.750000,351.500000,352.700012,351.604156,35526159
2021-06-16,350.100006,356.000000,348.100006,349.350006,348.264557,27550588
2021-06-17,348.399994,352.899994,342.250000,345.649994,344.576050,29236974
2021-06-18,345.649994,346.899994,329.000000,337.399994,336.351685,49440514
2021-06-21,330.899994,335.799988,326.200012,334.299988,333.261322,29123887
2021-06-22,337.100006,344.299988,336.149994,337.899994,336.850128,26708459
2021-06-23,341.000000,343.250000,334.299988,335.250000,334.208374,25741628
2021-06-24,335.000000,337.399994,333.350006,334.649994,333.610229,15580223
2021-06-25,335.899994,342.799988,335.899994,339.649994,338.594696,22426352
2021-06-28,340.799988,345.000000,337.549988,342.799988,341.734894,17843975
2021-06-29,342.649994,346.500000,339.600006,341.549988,340.488800,22462297
2021-06-30,342.000000,345.350006,338.850006,339.600006,338.544861,18277841
2021-07-01,341.500000,347.399994,341.200012,344.250000,343.180420,27944816
2021-07-02,345.299988,345.549988,340.500000,344.899994,343.828400,18304387
2021-07-05,347.049988,350.100006,344.000000,346.100006,345.024658,18399524
2021-07-06,348.000000,358.200012,311.500000,316.899994,315.915375,164083830
2021-07-07,316.000000,319.100006,306.250000,317.100006,316.114777,112183313
2021-07-08,314.799988,314.799988,305.000000,306.350006,305.398163,87360324
2021-07-09,305.799988,308.850006,301.850006,306.299988,305.348297,48807214
2021-07-12,310.799988,312.000000,306.100006,307.450012,306.494751,32282319
2021-07-13,310.000000,312.250000,308.149994,310.950012,309.983887,25736308
2021-07-14,310.000000,313.299988,308.649994,309.549988,308.588226,21863250
2021-07-15,310.500000,312.850006,307.600006,310.250000,309.286041,23617599
2021-07-16,311.100006,315.450012,310.500000,311.250000,310.282928,25148606
2021-07-19,308.950012,310.299988,306.000000,308.850006,307.890411,21346348
2021-07-20,307.000000,308.000000,301.049988,302.149994,301.211212,27672567
